Name,Purpose,Quantity,Total Cost (USD),Link,Distributor,,,,,
Smart Cell for Small Wearable Devices High-Energy Compact Power Source Ring-Type Lithium-Ion Battery OEM ODM Rechargeable,Curved LiPo Battery to power the PCB,5,27,https://www.alibaba.com/product-detail/Smart-Cell-for-Small-Wearable-Devices_11000020635153.html?spm=a2756.order-detail-ta-ta-b.0.0.4d01f19cOwtP4w,Alibaba (via Trusted Supplier I've used before),,,,,
Flex PCB + PCB Assembly,This is the flexible PCB with all of the needed components except for the battery- Assembly included. I got the cheapest shipping option available.,2,160.6,,JLCPCB,,,,,
Raytac MDBT42V - P,MCU- Preorder for PCB Assembly,2,11.06,https://jlcpcb.com/parts/componentSearch?searchTxt=mdbt42v-512kv2,JLCPCB Pre-Order,,,,,
,,,,,,,,,,
,,Total:,198.6,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PCBA Parts list excluding Raytac MCU,,,,,,,,,,
,,,,,,,,,,
No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,JLCPCB Price
1,2,Test-Point,"BAT+,BAT-",Test-Point-2mm,,,,,,
2,8,100nF,"C6,C7,C9,C12,C14,C15,C_VDD1,C_VDDH1",C0402,100nF,,,,,
3,2,4.7uF,"C8,C17",C0603,4.7uF,,,,,
4,5,10uF,"C11,C13,C16,C_VDD,C_VDDH",C0603,10uF,,,,,
5,3,100nF,"CR1,CR2,CR3",C0402,,,,,,
6,1,PZ254V-11-02P,H4,HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC,0.0018
7,1,10uH,L1,L0603,10uH,,,,,
8,3,4.7k,"R1,R2,R5",R0402,4.7k,,,,,
9,1,10K,R6,R0402,10K,,,,,
10,2,4.7K,"RG1,RG2",R0402,,,,,,
11,4,200K,"RG3,RG4,RG8,RG9",R0402,,,,,,
12,1,100K,RG5,R0402,,,,,,
13,2,100k,"RG6,RG7",R0402,,,,,,
14,1,1M,RG10,R0402,,,,,,
15,1,Test-Point,TP_VDD,Test-Point-0.5mm,,,,,,
16,1,MAX30102EFD+T,U1,OESIP-14_L5.6-W3.3-P0.80-TL,,MAX30102EFD+T,ADI(亚德诺)/MAXIM(美信),C6454833,LCSC,1.7855
17,1,LSM6DSRTR,U4,LGA-14_L3.0-W2.5-P0.50-BR,,LSM6DSRTR,ST(意法半导体),C784817,LCSC,0.4076
18,1,LM324PWR,U5,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,,LM324PWR,TI(德州仪器),C7942,LCSC,0.0289
19,1,TLV70018DDCR,U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,TLV70018DDCR,TI(德州仪器),C79924,LCSC,0.0249
20,1,MDBT50Q-1MV2,U10,COMM-SMD_MDBT50Q-1MV2-1,,MDBT50Q-1MV2,RAYTAC,C5118826,LCSC,1.0176
